Designator,Layer,Rotation,Mid X,Mid Y
"C1","Top",0,"26.5mm","15.5mm"
"C2","Top",0,"26.5mm","9.5mm"
"C3","Top",0,"21mm","3.6mm"
"C4","Top",0,"29.5mm","-3.2mm"
"C5","Top",0,"28.8mm","4mm"
"C6","Top",0,"21.5mm","-3.7mm"
"C7","Top",0,"24.2mm","-4.4mm"
"C8","Top",0,"21.5mm","-5.5mm"
"C9","Top",0,"24.2mm","-6.2mm"
"C10","Top",0,"24.8mm","7mm"
"C11","Top",0,"7mm","-6mm"
"C12","Top",0,"-19.5mm","17.5mm"
"C13","Top",0,"-14.5mm","17.5mm"
"C14","Top",0,"-9.5mm","17.5mm"
"C15","Top",90,"-10mm","10.5mm"
"C18","Top",0,"19mm","2mm"
"C19","Top",0,"-19.5mm","-17.5mm"
"C20","Top",0,"-14.5mm","-17.5mm"
"C21","Top",0,"-9.5mm","-17.5mm"
"C22","Top",90,"-10mm","-10.5mm"
"C25","Top",0,"19mm","-2mm"
"C26","Top",0,"-8.5mm","44.5mm"
"C27","Top",0,"20mm","44.5mm"
"C28","Top",0,"-25mm","-35.5mm"
"C29","Top",0,"-9mm","-35.5mm"
"C30","Top",0,"7mm","-35.5mm"
"D1","Top",0,"40mm","1mm"
"D2","Top",0,"36mm","15.5mm"
"D3","Top",0,"-3mm","13mm"
"D4","Top",0,"-3mm","-13mm"
"F1","Top",0,"39.5mm","9.5mm"
"FB1","Top",0,"18mm","8mm"
"J1","Top",90,"45.5625mm","1mm"
"J2","Top",270,"-28.5mm","15mm"
"J3","Top",270,"-28.5mm","-15mm"
"J4","Top",0,"0mm","47.545mm"
"J5","Top",0,"40mm","-26.5mm"
"LED1","Top",0,"20mm","-47.2mm"
"LED2","Top",0,"28mm","-47.2mm"
"LED3","Top",0,"36mm","-47.2mm"
"LED4","Top",0,"44mm","-47.2mm"
"Q1","Top",0,"-10mm","39mm"
"Q2","Top",0,"-7mm","35.5mm"
"R1","Top",0,"44mm","6.5mm"
"R2","Top",0,"44mm","-4.5mm"
"R3","Top",0,"47mm","7mm"
"R4","Top",0,"31mm","17.8mm"
"R5","Top",0,"22mm","7mm"
"R6","Top",0,"27.5mm","7mm"
"R7","Top",0,"-19.5mm","15mm"
"R8","Top",0,"-14.5mm","15mm"
"R9","Top",0,"-9.5mm","15mm"
"R10","Top",90,"-7.5mm","10.5mm"
"R11","Top",0,"0mm","9mm"
"R12","Top",0,"12mm","2.2mm"
"R13","Top",0,"-19.5mm","-15mm"
"R14","Top",0,"-14.5mm","-15mm"
"R15","Top",0,"-9.5mm","-15mm"
"R16","Top",90,"-7.5mm","-10.5mm"
"R17","Top",0,"0mm","-9mm"
"R18","Top",0,"12mm","-2.2mm"
"R19","Top",0,"-15mm","43mm"
"R20","Top",0,"-11mm","35.5mm"
"R21","Top",0,"-3.5mm","35.5mm"
"R22","Top",0,"-7mm","32.5mm"
"R23","Top",0,"-31mm","-35.5mm"
"R24","Top",0,"-28mm","-35.5mm"
"R25","Top",0,"-15mm","-35.5mm"
"R26","Top",0,"-12mm","-35.5mm"
"R27","Top",0,"1mm","-35.5mm"
"R28","Top",0,"4mm","-35.5mm"
"R29","Top",0,"20mm","-43.5mm"
"R30","Top",0,"28mm","-43.5mm"
"R31","Top",0,"36mm","-43.5mm"
"R32","Top",0,"44mm","-43.5mm"
"R33","Top",0,"13.5mm","8mm"
"SW1","Top",90,"-28mm","-42.9mm"
"SW2","Top",90,"-12mm","-42.9mm"
"SW3","Top",90,"4mm","-42.9mm"
"TP_3V3","Top",0,"30.5mm","8mm"
"TP_BL_K","Top",0,"-14mm","37.5mm"
"TP_CH1_ADC","Top",0,"16mm","4mm"
"TP_CH1_DIV","Top",0,"-5.2mm","15.5mm"
"TP_CH1_IN","Top",0,"-23mm","15mm"
"TP_CH2_ADC","Top",0,"16mm","-4mm"
"TP_CH2_DIV","Top",0,"-5.2mm","-15.5mm"
"TP_CH2_IN","Top",0,"-23mm","-15mm"
"TP_GND","Top",0,"11mm","12mm"
"TP_NRST","Top",0,"32mm","-9mm"
"TP_USB_DM","Top",0,"36mm","-1.8mm"
"TP_USB_DP","Top",0,"36mm","3.8mm"
"TP_VBUS_PROT","Top",0,"38.5mm","20mm"
"TP_VBUS_RAW","Top",0,"43mm","10mm"
"TP_VDDA","Top",0,"15mm","11mm"
"U1","Top",0,"25mm","0mm"
"U2","Top",0,"31mm","12mm"
"U3","Top",270,"7mm","0mm"
